age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,y,duration_minutes,cluster
43,technician,married,secondary,0,434,1,0,unknown,5,may,1,0,1.95,0
49,management,married,tertiary,0,3237,1,0,unknown,5,may,3,0,3.8666666666666667,0
22,blue-collar,single,secondary,0,0,1,0,unknown,5,may,2,0,2.9833333333333334,0
40,management,married,tertiary,0,207,1,0,unknown,5,may,1,0,0.65,0
39,blue-collar,married,secondary,0,483,1,0,unknown,5,may,1,0,4.7,0
51,services,married,secondary,0,2248,1,0,unknown,5,may,2,0,11.9,0
49,admin,married,secondary,0,428,1,0,unknown,5,may,1,0,0.8333333333333334,0
53,blue-collar,married,secondary,0,0,1,1,unknown,5,may,1,0,3.0166666666666666,0
34,services,single,secondary,0,0,1,0,unknown,5,may,1,0,2.3666666666666667,0
33,technician,divorced,secondary,0,140,1,0,unknown,5,may,1,0,3.783333333333333,0
50,management,single,tertiary,0,297,1,0,unknown,5,may,1,0,1.9833333333333334,0
39,blue-collar,married,primary,0,279,1,0,unknown,5,may,1,0,6.016666666666667,0
59,entrepreneur,divorced,secondary,0,901,1,0,unknown,5,may,3,0,1.2166666666666666,0
30,technician,single,secondary,0,2573,1,0,unknown,5,may,2,0,1.1166666666666667,0
36,services,married,secondary,0,143,1,1,unknown,5,may,1,0,5.833333333333333,0
40,blue-collar,married,secondary,0,475,1,0,unknown,5,may,2,0,5.533333333333333,0
53,blue-collar,married,secondary,0,70,1,0,unknown,5,may,2,0,10.183333333333334,0
34,management,single,tertiary,0,318,1,0,unknown,5,may,2,0,1.8833333333333333,0
37,technician,married,secondary,0,275,1,0,unknown,5,may,1,0,2.2,0
42,management,divorced,tertiary,0,742,1,0,unknown,5,may,3,0,0.9666666666666667,0
41,entrepreneur,married,primary,0,236,1,0,unknown,5,may,1,0,2.5166666666666666,0
30,student,single,tertiary,0,25,1,0,unknown,5,may,2,0,1.4833333333333334,0
37,management,single,tertiary,0,600,1,0,unknown,5,may,1,0,2.533333333333333,0
39,admin,divorced,secondary,0,-349,1,0,unknown,5,may,2,0,10.183333333333334,0
41,blue-collar,married,primary,0,183,1,1,unknown,5,may,2,0,1.8333333333333333,0
40,blue-collar,married,primary,0,0,1,0,unknown,5,may,1,0,7.716666666666667,0
42,management,single,tertiary,0,0,1,1,unknown,5,may,2,1,9.366666666666667,0
40,blue-collar,divorced,primary,0,0,1,0,unknown,5,may,1,0,16.033333333333335,0
57,technician,married,secondary,0,1078,1,0,unknown,5,may,4,0,0.16666666666666666,0
56,entrepreneur,divorced,secondary,0,155,0,0,unknown,5,may,3,0,1.9666666666666666,0
37,admin,married,secondary,0,190,1,0,unknown,5,may,2,0,1.5333333333333334,0
59,retired,married,secondary,0,319,1,0,unknown,5,may,3,0,2.3833333333333333,0
39,services,divorced,secondary,0,-185,1,0,unknown,5,may,3,0,3.15,0
49,services,married,secondary,0,47,0,0,unknown,5,may,2,0,3.9,0
38,services,single,secondary,0,570,1,0,unknown,5,may,2,0,1.25,0
36,self-employed,married,tertiary,0,19,0,0,unknown,5,may,2,0,3.15,0
50,blue-collar,married,primary,0,61,1,0,unknown,5,may,3,0,10.35,0
41,admin,married,secondary,0,-62,1,1,unknown,5,may,2,0,0.9166666666666666,0
54,technician,married,tertiary,0,258,0,0,unknown,5,may,4,0,5.166666666666667,0
58,blue-collar,married,primary,0,76,1,0,unknown,5,may,2,0,2.6,0
30,blue-collar,single,secondary,0,0,1,0,unknown,5,may,2,0,0.08333333333333333,0
33,admin,single,secondary,0,352,1,0,unknown,5,may,2,0,3.75,0
47,admin,married,secondary,0,368,1,0,unknown,5,may,2,0,2.0833333333333335,0
50,technician,single,tertiary,0,339,1,0,unknown,5,may,3,0,0.03333333333333333,0
32,blue-collar,married,secondary,0,1331,1,0,unknown,5,may,2,0,4.766666666666667,0
40,self-employed,married,secondary,0,672,1,0,unknown,5,may,2,0,2.7333333333333334,0
37,management,married,tertiary,0,58,1,0,unknown,5,may,2,0,1.6333333333333333,0
24,student,single,secondary,0,423,1,0,unknown,5,may,3,0,3.7666666666666666,1
54,management,married,tertiary,0,0,0,0,unknown,5,may,2,0,2.0,0
34,technician,married,secondary,0,19,1,0,unknown,5,may,4,0,6.033333333333333,0
56,technician,divorced,primary,0,13,1,0,unknown,5,may,2,0,5.95,0
31,blue-collar,single,secondary,0,3,1,0,unknown,5,may,2,0,3.3333333333333335,0
24,student,single,secondary,0,82,1,0,unknown,5,may,2,0,3.4,1
42,blue-collar,divorced,primary,0,28,1,0,unknown,5,may,3,0,2.1,0
57,technician,married,secondary,0,792,1,0,unknown,5,may,2,0,1.0833333333333333,0
51,admin,married,secondary,0,531,1,0,unknown,5,may,2,0,4.45,0
57,retired,married,secondary,0,211,1,0,unknown,5,may,2,0,4.133333333333334,0
36,services,single,secondary,0,62,1,0,unknown,5,may,2,0,3.5833333333333335,0
50,technician,married,secondary,0,1234,1,0,unknown,5,may,2,0,3.4166666666666665,0
54,management,married,tertiary,0,313,1,0,unknown,5,may,2,0,1.3833333333333333,0
55,blue-collar,married,secondary,0,89,1,0,unknown,5,may,3,0,1.7666666666666666,0
44,blue-collar,married,secondary,0,129,1,1,unknown,5,may,2,0,3.15,0
56,admin,married,secondary,0,353,1,0,unknown,5,may,2,0,1.7666666666666666,0
55,services,divorced,primary,0,96,1,1,unknown,5,may,2,0,5.183333333333334,0
37,services,divorced,secondary,0,398,1,1,unknown,5,may,2,0,3.566666666666667,0
33,admin,single,tertiary,0,193,0,0,unknown,5,may,2,0,2.2,0
46,admin,married,secondary,0,-358,1,0,unknown,5,may,2,0,5.966666666666667,0
36,blue-collar,married,secondary,0,539,1,1,unknown,5,may,2,0,7.55,0
51,technician,single,secondary,0,0,1,0,unknown,5,may,2,0,6.066666666666666,0
40,retired,single,primary,0,0,0,0,unknown,5,may,2,0,2.2666666666666666,0
42,blue-collar,married,secondary,0,490,1,0,unknown,5,may,2,0,6.433333333333334,0
51,blue-collar,married,secondary,0,0,1,0,unknown,5,may,2,0,2.8833333333333333,0
48,management,married,secondary,0,161,1,0,unknown,5,may,3,0,3.7333333333333334,0
32,technician,divorced,tertiary,0,2558,0,0,unknown,5,may,2,0,2.466666666666667,0
31,admin,single,secondary,0,98,1,0,unknown,5,may,2,0,3.2666666666666666,0
55,management,single,tertiary,0,115,0,0,unknown,5,may,4,0,1.85,0
40,blue-collar,single,secondary,0,436,1,0,unknown,5,may,3,0,3.85,0
47,technician,married,tertiary,0,831,1,0,unknown,5,may,3,0,5.266666666666667,0
41,blue-collar,married,secondary,0,290,1,0,unknown,5,may,2,0,4.0,0
48,blue-collar,married,secondary,0,1,0,0,unknown,5,may,3,0,11.15,0
30,blue-collar,single,secondary,0,-457,1,0,unknown,5,may,2,0,2.3833333333333333,0
58,management,single,tertiary,0,1387,1,0,unknown,5,may,5,0,2.9,0
45,management,divorced,tertiary,0,24598,1,0,unknown,5,may,3,0,5.216666666666667,0
49,blue-collar,married,secondary,0,30,1,0,unknown,5,may,4,0,2.25,0
42,admin,single,secondary,0,1022,1,0,unknown,5,may,2,0,2.433333333333333,0
53,technician,married,secondary,0,56,1,1,unknown,5,may,2,0,2.533333333333333,0
51,admin,single,secondary,1,-2,0,0,unknown,5,may,3,0,6.7,0
32,services,single,secondary,0,121,1,0,unknown,5,may,2,0,3.55,0
41,blue-collar,single,secondary,0,842,1,0,unknown,5,may,3,0,2.4,0
43,management,divorced,secondary,0,693,1,0,unknown,5,may,3,0,2.066666666666667,0
40,blue-collar,divorced,secondary,0,-333,1,0,unknown,5,may,2,0,3.05,0
50,blue-collar,married,primary,0,1533,1,0,unknown,5,may,2,0,5.416666666666667,0
34,management,married,tertiary,0,46,1,0,unknown,5,may,4,0,0.65,0
45,technician,married,secondary,0,44,1,0,unknown,5,may,4,0,1.5833333333333333,0
39,blue-collar,married,primary,0,-100,1,0,unknown,5,may,2,0,11.333333333333334,0
44,services,married,tertiary,0,510,1,0,unknown,5,may,4,0,7.016666666666667,0
55,management,married,tertiary,0,685,1,0,unknown,5,may,3,0,2.9,0
46,management,single,tertiary,0,187,1,0,unknown,5,may,2,0,1.8833333333333333,0
45,blue-collar,married,secondary,0,66,1,0,unknown,5,may,2,0,13.466666666666667,0
34,admin,married,secondary,0,560,1,0,unknown,5,may,3,0,3.3,0
36,blue-collar,married,secondary,0,0,1,0,unknown,5,may,2,0,3.25,0
31,admin,single,secondary,0,12,1,0,unknown,5,may,2,0,3.466666666666667,0
44,blue-collar,single,secondary,0,34,1,0,unknown,5,may,4,0,6.733333333333333,0
33,entrepreneur,single,tertiary,0,1068,1,0,unknown,5,may,2,0,6.6,0
40,blue-collar,married,secondary,0,211,1,0,unknown,5,may,4,0,3.6,0
46,admin,single,tertiary,0,377,1,0,unknown,5,may,2,0,1.6333333333333333,0
48,management,married,tertiary,0,263,1,0,unknown,5,may,2,0,5.833333333333333,0
42,services,married,secondary,0,1263,1,0,unknown,6,may,2,0,1.9,0
27,services,married,secondary,0,8,1,0,unknown,6,may,3,0,1.4666666666666666,0
48,admin,married,secondary,0,126,1,1,unknown,6,may,2,0,6.316666666666666,0
59,admin,married,secondary,0,230,1,0,unknown,6,may,3,0,3.1666666666666665,0
46,technician,married,tertiary,0,841,1,0,unknown,6,may,1,0,2.6333333333333333,0
38,admin,divorced,secondary,0,308,1,0,unknown,6,may,1,0,1.7,0
43,management,divorced,tertiary,0,1,1,0,unknown,6,may,1,0,5.1,0
38,admin,divorced,tertiary,0,86,1,0,unknown,6,may,1,0,3.6333333333333333,0
23,student,single,secondary,0,157,1,0,unknown,6,may,1,0,0.9,1
34,services,married,secondary,0,22,1,0,unknown,6,may,1,0,5.733333333333333,0
38,admin,married,secondary,0,46,1,1,unknown,6,may,1,0,3.25,0
37,blue-collar,married,secondary,0,1293,0,0,unknown,6,may,1,0,10.866666666666667,0
25,admin,single,secondary,0,122,1,0,unknown,6,may,1,0,4.766666666666667,0
49,blue-collar,single,secondary,0,143,1,0,unknown,6,may,1,0,1.3833333333333333,0
