age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,y,duration_in_minutes
57,entrepreneur,married,secondary,0,294,1,0,unknown,5,may,2,0,12.433333333333334
53,blue-collar,married,unknown,0,1827,0,0,unknown,5,may,1,0,2.0166666666666666
55,blue-collar,married,primary,0,627,1,0,unknown,5,may,1,0,4.116666666666666
45,blue-collar,married,primary,0,25,1,0,unknown,5,may,1,0,0.6666666666666666
53,admin,divorced,secondary,0,315,1,0,unknown,5,may,2,0,3.0166666666666666
37,blue-collar,married,primary,0,0,1,0,unknown,5,may,1,0,1.3166666666666667
44,admin,divorced,secondary,0,66,1,0,unknown,5,may,1,0,3.433333333333333
49,blue-collar,divorced,primary,0,-9,1,1,unknown,5,may,1,0,6.483333333333333
46,technician,married,secondary,0,349,1,1,unknown,5,may,1,0,2.1166666666666667
43,entrepreneur,married,unknown,0,100,1,0,unknown,5,may,1,0,11.7
38,admin,married,secondary,0,0,0,0,unknown,5,may,1,0,2.5166666666666666
43,technician,married,secondary,0,434,1,0,unknown,5,may,1,0,1.95
49,management,married,tertiary,0,3237,1,0,unknown,5,may,3,0,3.8666666666666667
42,management,married,unknown,0,275,0,0,unknown,5,may,2,0,6.8
22,blue-collar,single,secondary,0,0,1,0,unknown,5,may,2,0,2.9833333333333334
40,management,married,tertiary,0,207,1,0,unknown,5,may,1,0,0.65
39,blue-collar,married,secondary,0,483,1,0,unknown,5,may,1,0,4.7
51,services,married,secondary,0,2248,1,0,unknown,5,may,2,0,11.9
49,admin,married,secondary,0,428,1,0,unknown,5,may,1,0,0.8333333333333334
53,blue-collar,married,secondary,0,0,1,1,unknown,5,may,1,0,3.0166666666666666
34,services,single,secondary,0,0,1,0,unknown,5,may,1,0,2.3666666666666667
33,technician,divorced,secondary,0,140,1,0,unknown,5,may,1,0,3.783333333333333
50,management,single,tertiary,0,297,1,0,unknown,5,may,1,0,1.9833333333333334
39,blue-collar,married,primary,0,279,1,0,unknown,5,may,1,0,6.016666666666667
59,entrepreneur,divorced,secondary,0,901,1,0,unknown,5,may,3,0,1.2166666666666666
30,technician,single,secondary,0,2573,1,0,unknown,5,may,2,0,1.1166666666666667
36,services,married,secondary,0,143,1,1,unknown,5,may,1,0,5.833333333333333
40,blue-collar,married,secondary,0,475,1,0,unknown,5,may,2,0,5.533333333333333
53,blue-collar,married,secondary,0,70,1,0,unknown,5,may,2,0,10.183333333333334
34,management,single,tertiary,0,318,1,0,unknown,5,may,2,0,1.8833333333333333
37,technician,married,secondary,0,275,1,0,unknown,5,may,1,0,2.2
42,management,divorced,tertiary,0,742,1,0,unknown,5,may,3,0,0.9666666666666667
41,entrepreneur,married,primary,0,236,1,0,unknown,5,may,1,0,2.5166666666666666
30,student,single,tertiary,0,25,1,0,unknown,5,may,2,0,1.4833333333333334
37,management,single,tertiary,0,600,1,0,unknown,5,may,1,0,2.533333333333333
39,admin,divorced,secondary,0,-349,1,0,unknown,5,may,2,0,10.183333333333334
41,blue-collar,married,primary,0,183,1,1,unknown,5,may,2,0,1.8333333333333333
40,blue-collar,married,primary,0,0,1,0,unknown,5,may,1,0,7.716666666666667
42,management,single,tertiary,0,0,1,1,unknown,5,may,2,1,9.366666666666667
40,blue-collar,divorced,primary,0,0,1,0,unknown,5,may,1,0,16.033333333333335
57,technician,married,secondary,0,1078,1,0,unknown,5,may,4,0,0.16666666666666666
56,entrepreneur,divorced,secondary,0,155,0,0,unknown,5,may,3,0,1.9666666666666666
37,admin,married,secondary,0,190,1,0,unknown,5,may,2,0,1.5333333333333334
59,retired,married,secondary,0,319,1,0,unknown,5,may,3,0,2.3833333333333333
39,services,divorced,secondary,0,-185,1,0,unknown,5,may,3,0,3.15
49,services,married,secondary,0,47,0,0,unknown,5,may,2,0,3.9
38,services,single,secondary,0,570,1,0,unknown,5,may,2,0,1.25
36,self-employed,married,tertiary,0,19,0,0,unknown,5,may,2,0,3.15
50,blue-collar,married,primary,0,61,1,0,unknown,5,may,3,0,10.35
41,admin,married,secondary,0,-62,1,1,unknown,5,may,2,0,0.9166666666666666
54,technician,married,tertiary,0,258,0,0,unknown,5,may,4,0,5.166666666666667
58,blue-collar,married,primary,0,76,1,0,unknown,5,may,2,0,2.6
30,blue-collar,single,secondary,0,0,1,0,unknown,5,may,2,0,0.08333333333333333
33,admin,single,secondary,0,352,1,0,unknown,5,may,2,0,3.75
47,admin,married,secondary,0,368,1,0,unknown,5,may,2,0,2.0833333333333335
50,technician,single,tertiary,0,339,1,0,unknown,5,may,3,0,0.03333333333333333
32,blue-collar,married,secondary,0,1331,1,0,unknown,5,may,2,0,4.766666666666667
40,self-employed,married,secondary,0,672,1,0,unknown,5,may,2,0,2.7333333333333334
37,management,married,tertiary,0,58,1,0,unknown,5,may,2,0,1.6333333333333333
54,technician,single,unknown,0,447,1,0,unknown,5,may,2,0,12.366666666666667
24,student,single,secondary,0,423,1,0,unknown,5,may,3,0,3.7666666666666666
54,management,married,tertiary,0,0,0,0,unknown,5,may,2,0,2.0
34,technician,married,secondary,0,19,1,0,unknown,5,may,4,0,6.033333333333333
56,technician,divorced,primary,0,13,1,0,unknown,5,may,2,0,5.95
31,blue-collar,single,secondary,0,3,1,0,unknown,5,may,2,0,3.3333333333333335
24,student,single,secondary,0,82,1,0,unknown,5,may,2,0,3.4
42,blue-collar,divorced,primary,0,28,1,0,unknown,5,may,3,0,2.1
57,technician,married,secondary,0,792,1,0,unknown,5,may,2,0,1.0833333333333333
42,blue-collar,married,unknown,0,408,1,0,unknown,5,may,2,0,1.7833333333333334
51,admin,married,secondary,0,531,1,0,unknown,5,may,2,0,4.45
57,retired,married,secondary,0,211,1,0,unknown,5,may,2,0,4.133333333333334
36,services,single,secondary,0,62,1,0,unknown,5,may,2,0,3.5833333333333335
53,services,married,unknown,0,257,1,0,unknown,5,may,2,0,3.4833333333333334
50,technician,married,secondary,0,1234,1,0,unknown,5,may,2,0,3.4166666666666665
54,management,married,tertiary,0,313,1,0,unknown,5,may,2,0,1.3833333333333333
55,blue-collar,married,secondary,0,89,1,0,unknown,5,may,3,0,1.7666666666666666
44,blue-collar,married,secondary,0,129,1,1,unknown,5,may,2,0,3.15
43,management,married,unknown,0,0,1,0,unknown,5,may,2,0,1.75
56,admin,married,secondary,0,353,1,0,unknown,5,may,2,0,1.7666666666666666
54,technician,married,unknown,0,851,1,0,unknown,5,may,2,0,1.8
55,services,divorced,primary,0,96,1,1,unknown,5,may,2,0,5.183333333333334
37,services,divorced,secondary,0,398,1,1,unknown,5,may,2,0,3.566666666666667
33,admin,single,tertiary,0,193,0,0,unknown,5,may,2,0,2.2
46,admin,married,secondary,0,-358,1,0,unknown,5,may,2,0,5.966666666666667
36,blue-collar,married,secondary,0,539,1,1,unknown,5,may,2,0,7.55
51,technician,single,secondary,0,0,1,0,unknown,5,may,2,0,6.066666666666666
40,retired,single,primary,0,0,0,0,unknown,5,may,2,0,2.2666666666666666
42,blue-collar,married,secondary,0,490,1,0,unknown,5,may,2,0,6.433333333333334
51,blue-collar,married,secondary,0,0,1,0,unknown,5,may,2,0,2.8833333333333333
49,blue-collar,married,unknown,0,403,1,0,unknown,5,may,2,0,4.016666666666667
48,management,married,secondary,0,161,1,0,unknown,5,may,3,0,3.7333333333333334
32,technician,divorced,tertiary,0,2558,0,0,unknown,5,may,2,0,2.466666666666667
31,admin,single,secondary,0,98,1,0,unknown,5,may,2,0,3.2666666666666666
55,management,single,tertiary,0,115,0,0,unknown,5,may,4,0,1.85
40,blue-collar,single,secondary,0,436,1,0,unknown,5,may,3,0,3.85
47,technician,married,tertiary,0,831,1,0,unknown,5,may,3,0,5.266666666666667
57,technician,married,unknown,0,206,1,0,unknown,5,may,3,0,3.6
41,blue-collar,married,secondary,0,290,1,0,unknown,5,may,2,0,4.0
48,blue-collar,married,secondary,0,1,0,0,unknown,5,may,3,0,11.15
42,blue-collar,married,unknown,0,57,1,0,unknown,5,may,2,0,7.083333333333333
30,blue-collar,single,secondary,0,-457,1,0,unknown,5,may,2,0,2.3833333333333333
58,management,single,tertiary,0,1387,1,0,unknown,5,may,5,0,2.9
45,management,divorced,tertiary,0,24598,1,0,unknown,5,may,3,0,5.216666666666667
49,blue-collar,married,secondary,0,30,1,0,unknown,5,may,4,0,2.25
42,admin,single,secondary,0,1022,1,0,unknown,5,may,2,0,2.433333333333333
53,technician,married,secondary,0,56,1,1,unknown,5,may,2,0,2.533333333333333
51,admin,single,secondary,1,-2,0,0,unknown,5,may,3,0,6.7
32,services,single,secondary,0,121,1,0,unknown,5,may,2,0,3.55
41,blue-collar,single,secondary,0,842,1,0,unknown,5,may,3,0,2.4
43,management,divorced,secondary,0,693,1,0,unknown,5,may,3,0,2.066666666666667
40,blue-collar,divorced,secondary,0,-333,1,0,unknown,5,may,2,0,3.05
50,blue-collar,married,primary,0,1533,1,0,unknown,5,may,2,0,5.416666666666667
34,management,married,tertiary,0,46,1,0,unknown,5,may,4,0,0.65
53,services,married,unknown,0,18,0,0,unknown,5,may,2,0,8.383333333333333
45,technician,married,secondary,0,44,1,0,unknown,5,may,4,0,1.5833333333333333
39,blue-collar,married,primary,0,-100,1,0,unknown,5,may,2,0,11.333333333333334
44,services,married,tertiary,0,510,1,0,unknown,5,may,4,0,7.016666666666667
55,management,married,tertiary,0,685,1,0,unknown,5,may,3,0,2.9
46,management,single,tertiary,0,187,1,0,unknown,5,may,2,0,1.8833333333333333
45,blue-collar,married,secondary,0,66,1,0,unknown,5,may,2,0,13.466666666666667
34,admin,married,secondary,0,560,1,0,unknown,5,may,3,0,3.3
36,blue-collar,married,secondary,0,0,1,0,unknown,5,may,2,0,3.25
