,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,duration_in_minutes,kmeans_label,tsne_x,tsne_y,tsne_z,y,index
27378,30,student,single,tertiary,0,3300,0,0,cellular,21,nov,1,26.183332,1,14.679422,-9.005248,-2.1027346,1,27378
22687,48,management,single,tertiary,0,830,0,0,cellular,25,aug,4,16.016666,0,2.610025,-10.050794,-5.171042,1,22687
31358,31,technician,married,secondary,0,180,0,0,cellular,17,mar,2,4.983333,0,-2.6716974,-8.758417,2.7458086,1,31358
39439,43,admin,single,secondary,0,733,1,0,cellular,25,may,1,4.7,0,0.0919102,-5.4556537,-8.806816,1,39439
4271,43,services,divorced,secondary,0,1040,1,0,unknown,19,may,3,9.2,0,4.6130733,-10.630755,7.30447,1,4271
31398,23,student,single,secondary,0,4126,0,0,cellular,25,mar,2,1.6,1,15.963473,-5.742514,7.4300303,1,31398
14353,38,technician,married,secondary,0,976,1,0,cellular,14,jul,3,12.766666,0,4.620103,-11.83336,3.8567414,1,14353
35533,42,unemployed,married,secondary,0,356,1,0,cellular,7,may,3,13.116667,0,-3.4174075,9.9050665,6.2036204,1,35533
31115,57,retired,divorced,primary,0,720,0,0,telephone,17,feb,4,3.3666666,0,0.3268382,-4.3916698,-9.171008,1,31115
39773,45,blue-collar,married,secondary,0,1723,0,0,cellular,1,jun,2,2.7666667,0,9.06541,10.211212,1.8164475,1,39773
15794,25,student,married,tertiary,0,10,1,0,cellular,21,jul,4,14.283334,0,-13.223035,1.6111581,-1.679055,1,15794
33733,45,technician,married,tertiary,0,5110,0,0,cellular,22,apr,2,5.6833334,1,17.288868,1.1468512,7.7102537,1,33733
26366,30,blue-collar,married,secondary,0,501,1,1,cellular,20,nov,1,16.566668,0,-0.383195,11.106949,-4.919065,1,26366
23826,35,technician,single,secondary,0,3490,1,0,cellular,29,aug,2,10.716666,1,15.16616,-9.046764,0.9669721,1,23826
28066,26,unemployed,single,secondary,0,622,0,0,cellular,28,jan,2,24.183332,0,-0.78743,3.2300384,-10.895926,1,28066
39651,21,admin,single,secondary,0,524,0,0,cellular,26,may,1,3.0833333,0,0.19192718,10.04363,-6.424433,1,39651
33902,45,management,married,tertiary,0,160,0,0,cellular,30,apr,1,10.316667,0,-3.6170983,-11.265728,0.44142762,1,33902
9993,36,self-employed,single,tertiary,0,4844,0,0,unknown,9,jun,3,18.95,1,16.878956,-0.50169563,8.463144,1,9993
16023,35,technician,married,tertiary,0,328,1,0,cellular,22,jul,2,10.9,0,-2.8399687,6.7266107,6.708622,1,16023
39899,32,admin,married,tertiary,0,653,0,0,cellular,2,jun,1,1.4,0,-1.3490338,0.94283265,-9.758726,1,39899
474,34,admin,married,secondary,0,869,0,0,unknown,6,may,1,27.95,0,3.7559617,-11.529203,-3.0643954,1,474
32072,30,unemployed,married,tertiary,0,330,0,0,cellular,14,apr,1,1.85,0,-2.8680942,7.308001,6.8753514,1,32072
10278,37,management,single,tertiary,0,8828,0,0,unknown,12,jun,3,16.833334,1,20.23179,2.6699843,-3.4405682,1,10278
35378,50,services,married,primary,0,5024,1,1,cellular,7,may,1,11.016666,1,17.148783,0.6475617,8.030604,1,35378
7659,38,admin,divorced,secondary,0,19,1,0,unknown,30,may,2,10.066667,0,-12.548232,-0.95059013,-1.7778249,1,7659
28981,50,unemployed,divorced,unknown,0,1088,0,0,cellular,2,feb,1,12.483334,0,4.1378236,-9.324002,9.27995,1,28981
27122,46,services,married,secondary,0,2948,0,0,cellular,21,nov,1,14.883333,0,13.447435,-7.179325,-7.0449286,1,27122
7914,45,technician,single,secondary,0,410,1,0,unknown,30,may,4,14.85,0,-2.6889215,11.956952,2.1074111,1,7914
30469,48,entrepreneur,single,tertiary,0,318,1,0,cellular,5,feb,4,16.95,0,-3.7658148,5.4633474,7.8099723,1,30469
11740,50,technician,divorced,secondary,0,396,0,0,unknown,20,jun,2,11.933333,0,-3.3128207,11.853379,3.2099042,1,11740
35854,53,technician,single,tertiary,0,185,1,0,cellular,8,may,2,24.133333,0,-2.7815497,-7.297222,1.3125863,1,35854
13831,41,blue-collar,married,secondary,0,5517,1,0,cellular,10,jul,1,9.733334,1,17.917162,2.8893657,5.7829857,1,13831
17729,47,unemployed,married,secondary,0,312,0,0,cellular,29,jul,1,14.733334,0,-2.1012957,4.771343,7.5157595,1,17729
33688,24,student,single,secondary,0,597,1,0,cellular,20,apr,3,15.716666,0,-0.35626823,4.8022804,-9.781534,1,33688
39817,48,management,married,tertiary,0,3842,0,0,cellular,1,jun,2,3.5833333,1,15.681346,-7.568338,5.307798,1,39817
39704,56,admin,single,secondary,0,4118,0,0,telephone,27,may,1,2.75,1,15.95525,-5.8052,7.3884516,1,39704
39754,57,management,married,tertiary,0,473,0,0,cellular,1,jun,1,4.9166665,0,-2.2938683,12.214718,-2.8199682,1,39754
15343,33,blue-collar,married,secondary,0,661,1,0,cellular,18,jul,1,16.133333,0,-1.463123,-0.12115607,-10.394851,1,15343
5174,32,blue-collar,married,secondary,0,783,1,0,unknown,21,may,3,15.383333,0,1.1744897,-7.862941,-7.0224295,1,5174
26192,32,technician,married,tertiary,0,4654,1,1,cellular,20,nov,1,4.6,1,16.607208,-1.8011525,8.704671,1,26192
7334,27,management,single,tertiary,0,12956,1,0,unknown,29,may,3,13.15,1,21.3469,1.2750285,-6.906964,1,7334
34013,53,services,married,secondary,0,341,0,0,cellular,30,apr,2,7.05,0,-4.309039,8.502414,6.0466585,1,34013
31146,28,management,single,tertiary,0,1287,1,0,cellular,26,feb,1,1.0833334,0,5.154881,-0.37131402,12.831376,1,31146
31337,47,blue-collar,married,secondary,0,238,1,1,cellular,13,mar,1,51.266666,0,-0.10103453,-2.33721,3.5287817,1,31337
37093,47,housemaid,single,primary,0,2785,1,0,cellular,13,may,1,9.5,0,12.677304,-5.4467278,-9.080969,1,37093
15220,42,blue-collar,divorced,primary,0,301,1,0,cellular,17,jul,2,19.583334,0,-2.7699227,3.2623808,6.889942,1,15220
37133,28,admin,divorced,secondary,0,451,1,0,cellular,13,may,1,5.0333333,0,-0.86853933,12.985703,-1.0121764,1,37133
27405,42,management,married,tertiary,0,36,0,0,cellular,21,nov,3,11.066667,0,-12.944084,-3.0517318,-0.8109606,1,27405
29849,40,blue-collar,married,unknown,0,1181,1,0,cellular,4,feb,2,11.966666,0,4.209713,-5.5359597,11.61631,1,29849
33915,42,technician,single,unknown,0,11115,0,0,cellular,30,apr,1,5.4666667,1,20.904268,1.5891113,-5.7385125,1,33915
28696,41,management,single,secondary,0,3234,1,0,cellular,30,jan,1,46.166668,0,14.487905,-8.82689,-3.076749,1,28696
30141,30,admin,single,secondary,0,313,1,0,cellular,4,feb,2,18.683332,0,-3.9215627,5.139747,6.25232,1,30141
16426,47,technician,single,secondary,0,1101,1,0,cellular,23,jul,3,15.95,0,4.419021,-8.915822,9.750046,1,16426
36419,25,student,single,primary,0,373,1,0,cellular,11,may,2,13.65,0,-2.1262062,11.194808,5.42658,1,36419
4313,37,management,divorced,tertiary,0,122,1,0,unknown,19,may,2,27.033333,0,-8.497123,-11.7742815,-0.40152586,1,4313
20814,58,retired,married,tertiary,0,0,0,0,cellular,13,aug,4,10.683333,0,-12.42421,8.061648,-2.56146,1,20814
30351,34,unemployed,married,primary,0,309,0,0,cellular,5,feb,1,9.633333,0,-3.9628654,4.578151,6.562234,1,30351
24139,31,technician,single,tertiary,0,2807,0,0,unknown,8,nov,1,2.5666666,0,12.785322,-5.712978,-8.830497,1,24139
5251,35,self-employed,divorced,tertiary,0,1354,1,0,unknown,23,may,2,12.266666,0,5.8533206,2.7809324,12.308141,1,5251
34778,32,self-employed,single,tertiary,0,0,1,0,cellular,6,may,1,12.783334,0,-13.8401785,4.2343698,0.4276629,1,34778
34026,20,student,single,secondary,0,502,0,0,cellular,30,apr,1,4.35,0,0.14457914,11.408287,-5.0668993,1,34026
33430,28,student,single,secondary,0,0,0,0,cellular,20,apr,1,3.0833333,0,-10.971343,2.412743,-1.7912773,1,33430
34307,30,self-employed,married,tertiary,0,2666,0,0,cellular,4,may,3,13.016666,0,12.05928,-3.722769,-10.273408,1,34307
9389,37,blue-collar,married,unknown,0,1508,0,1,unknown,6,jun,2,6.35,0,7.3919897,7.2852674,8.766834,1,9389
39387,29,management,single,tertiary,0,265,0,0,cellular,22,may,1,8.183333,0,-2.1260884,0.18770248,5.3797283,1,39387
39395,27,technician,divorced,secondary,0,1977,1,0,cellular,22,may,1,7.483333,0,10.274633,8.838238,-4.6163244,1,39395
20849,53,services,married,secondary,0,6170,0,0,cellular,13,aug,4,13.966666,1,18.660122,3.8162615,2.8424416,1,20849
36844,31,admin,single,tertiary,0,355,1,0,cellular,12,may,1,10.15,0,-2.615264,9.409378,6.3033094,1,36844
11192,42,blue-collar,single,primary,0,4930,0,0,unknown,18,jun,1,16.216667,1,17.010792,0.07633808,8.268983,1,11192
3497,60,services,single,primary,0,313,1,0,unknown,15,may,2,15.333333,0,-3.0978482,4.560948,8.523711,1,3497
7763,50,unemployed,married,secondary,0,3674,1,0,unknown,30,may,3,14.766666,1,15.479594,-8.500358,3.506003,1,7763
39196,25,blue-collar,single,primary,0,292,1,1,cellular,18,may,2,17.116667,0,-2.6602392,2.8058107,5.8380923,1,39196
8718,45,management,divorced,secondary,0,644,1,0,unknown,4,jun,1,10.55,0,-1.1153259,1.3539848,-9.982169,1,8718
23149,36,unemployed,married,tertiary,0,154,0,0,cellular,26,aug,7,9.266666,0,-4.0436907,-11.582069,0.9679452,1,23149
33770,35,management,married,tertiary,0,8,0,0,cellular,23,apr,3,1.55,0,-10.347238,3.1668024,-2.05196,1,33770
37756,41,blue-collar,married,secondary,0,580,1,0,cellular,14,may,1,14.566667,0,-0.9161207,6.3424954,-8.991292,1,37756
15092,32,blue-collar,single,secondary,0,118,1,0,cellular,17,jul,1,21.25,0,-8.968446,-11.651959,0.117012575,1,15092
31939,28,management,divorced,tertiary,0,229,1,0,cellular,9,apr,2,17.366667,0,-1.9706767,-3.3251767,3.5594912,1,31939
28965,62,retired,married,secondary,0,1495,0,0,cellular,2,feb,1,4.4166665,0,7.318473,7.1189322,9.154144,1,28965
35461,26,blue-collar,single,secondary,0,311,1,0,cellular,7,may,2,13.3,0,-3.888742,4.817766,6.1904345,1,35461
30803,22,student,single,secondary,0,0,0,0,cellular,6,feb,6,3.8166666,0,-12.861836,3.3705595,1.3717097,1,30803
33965,35,management,single,tertiary,0,1750,1,0,cellular,30,apr,1,11.45,0,9.147423,10.26965,0.9373393,1,33965
23331,44,management,married,tertiary,0,1138,0,0,cellular,27,aug,3,8.716666,0,4.3078585,-7.4293084,10.882035,1,23331
891,53,services,divorced,primary,0,-291,1,1,unknown,7,may,1,9.85,0,-24.545538,0.4567244,-2.7738118,1,891
5162,38,blue-collar,married,secondary,0,622,1,0,unknown,21,may,2,10.183333,0,-1.0356652,3.31689,-10.359863,1,5162
33505,33,technician,married,secondary,0,1968,1,0,cellular,20,apr,3,30.283333,0,10.312847,8.882069,-4.366376,1,33505
38229,35,blue-collar,married,primary,0,22,1,0,cellular,15,may,2,19.833334,0,-13.698802,-0.46112737,-0.1336185,1,38229
14649,51,entrepreneur,married,secondary,0,-799,0,1,cellular,15,jul,3,16.683332,0,-26.490341,-5.3207836,-3.692258,1,14649
37873,29,blue-collar,married,secondary,0,7863,1,0,cellular,14,may,1,18.816668,1,19.800184,3.288137,-1.8396095,1,37873
24527,59,management,married,tertiary,0,1783,0,1,cellular,17,nov,2,9.0,0,9.59992,10.481401,-0.03085666,1,24527
3876,50,admin,divorced,secondary,0,363,1,0,unknown,16,may,1,22.333334,0,-3.9251182,10.333787,5.532756,1,3876
20622,38,management,married,tertiary,0,1223,0,0,cellular,12,aug,5,18.2,0,4.265736,-3.6315105,12.460481,1,20622
11781,57,management,married,tertiary,0,9103,0,1,unknown,20,jun,2,18.3,1,20.329,2.5122597,-3.7944727,1,11781
33414,73,retired,divorced,tertiary,0,3203,0,0,cellular,20,apr,1,2.4666667,0,14.376992,-8.662444,-3.532333,1,33414
2897,48,blue-collar,married,secondary,0,1596,1,0,unknown,14,may,1,12.666667,0,8.152992,9.044298,6.172957,1,2897
33747,65,retired,married,primary,0,276,0,0,cellular,22,apr,1,3.8166666,0,0.07590211,0.19749832,5.9930234,1,33747
1462,43,blue-collar,married,primary,0,-192,1,0,unknown,8,may,2,18.666666,0,-23.081095,2.6997457,-2.3880749,1,1462
20558,57,management,divorced,tertiary,0,8897,1,0,cellular,12,aug,2,14.416667,1,20.257427,2.6290379,-3.533508,1,20558
39724,43,admin,married,secondary,0,132,0,0,cellular,27,may,2,3.1166666,0,-6.83759,-11.891463,-0.3436555,1,39724
39391,59,management,married,tertiary,0,2239,0,0,cellular,22,may,1,7.1833334,0,10.589495,5.0729003,-9.072676,1,39391
27096,34,blue-collar,single,secondary,0,4536,1,0,cellular,21,nov,1,16.05,1,16.453604,-2.637998,8.666133,1,27096
3677,36,services,single,unknown,0,281,1,0,unknown,16,may,1,8.583333,0,-2.3933547,1.4776058,6.066537,1,3677
27348,33,technician,single,tertiary,0,0,1,0,cellular,21,nov,1,10.9,0,-12.223886,2.9361923,-2.208426,1,27348
39406,43,services,married,secondary,0,2145,0,0,cellular,22,may,1,4.516667,0,10.380902,6.7191505,-7.6013603,1,39406
9499,53,technician,married,secondary,0,480,0,0,unknown,6,jun,2,10.8,0,-2.0417595,12.093429,-3.2631178,1,9499
24274,57,blue-collar,married,secondary,0,1540,1,0,cellular,17,nov,1,9.4,0,7.657597,7.9456806,8.034716,1,24274
33767,53,retired,married,secondary,0,665,1,0,cellular,22,apr,2,6.1833334,0,-0.30486813,-0.36667743,-10.41724,1,33767
14760,28,management,single,tertiary,0,0,1,0,cellular,16,jul,5,12.783334,0,-13.412542,2.7093065,-1.4404626,1,14760
34200,56,management,married,tertiary,0,2333,0,0,cellular,4,may,1,4.0666666,0,10.796935,3.1249332,-10.221785,1,34200
7611,36,blue-collar,single,secondary,0,366,1,1,unknown,30,may,2,18.883333,0,-2.5516608,9.978928,4.9878693,1,7611
28243,26,blue-collar,single,primary,0,941,0,0,cellular,29,jan,1,19.416666,0,4.9721427,-12.055924,1.5895731,1,28243
30732,26,services,single,tertiary,0,1140,1,0,cellular,6,feb,2,16.4,0,4.3200483,-7.185096,10.555802,1,30732
16960,51,retired,married,primary,0,1495,0,0,telephone,25,jul,4,32.433334,0,7.352116,7.102953,9.161154,1,16960
23204,59,retired,married,secondary,0,2396,0,0,cellular,27,aug,6,17.333334,0,10.851542,1.7113945,-10.663671,1,23204
33765,32,management,single,tertiary,0,2069,0,0,cellular,22,apr,1,9.083333,0,10.279241,7.727629,-6.3357916,1,33765
31107,38,admin,married,secondary,0,755,1,0,cellular,17,feb,1,2.0,0,0.41491035,-6.54477,-7.923902,1,31107
18490,40,blue-collar,married,secondary,0,1954,0,0,cellular,31,jul,2,18.45,0,10.113983,9.147842,-4.1684895,1,18490
4329,41,technician,married,secondary,0,501,1,0,unknown,19,may,5,9.65,0,-0.867351,11.172961,-5.0850806,1,4329
24390,53,technician,divorced,tertiary,0,2228,0,0,cellular,17,nov,1,14.833333,0,10.514825,5.257017,-8.900757,1,24390
27763,55,technician,divorced,secondary,1,4,0,0,cellular,28,jan,1,17.466667,0,-11.619808,6.3902655,-4.6299124,1,27763
33509,33,blue-collar,married,secondary,0,-267,1,0,cellular,20,apr,3,17.166666,0,-24.256012,1.0140178,-2.7297604,1,33509
27028,30,services,single,secondary,0,495,1,0,cellular,21,nov,1,10.683333,0,-0.35746476,11.4340515,-4.5563684,1,27028
30992,49,services,married,secondary,0,320,0,0,telephone,9,feb,4,32.85,0,-3.950674,5.7221828,8.0639,1,30992
33779,59,blue-collar,married,primary,0,1939,0,0,cellular,23,apr,1,2.8666666,0,9.96488,9.258176,-3.9049816,1,33779
19114,33,management,divorced,tertiary,0,2885,0,0,cellular,5,aug,2,17.516666,0,13.163099,-6.582163,-7.8599877,1,19114
33887,31,technician,married,tertiary,0,3382,0,0,cellular,30,apr,1,12.316667,1,14.910673,-9.099854,-0.75267076,1,33887
39979,60,management,divorced,tertiary,0,366,0,0,cellular,3,jun,1,9.883333,0,-4.208733,10.657693,5.623411,1,39979
31837,27,student,single,secondary,0,2614,0,0,cellular,8,apr,2,2.3833334,0,11.779504,-2.7900214,-10.641258,1,31837
32065,24,management,married,unknown,0,448,0,0,cellular,14,apr,1,5.4,0,-0.79844284,13.023598,-0.78640467,1,32065
13993,31,student,married,primary,0,46,1,0,cellular,10,jul,1,8.116667,0,-13.580365,-4.203997,0.52854806,1,13993
26443,56,technician,married,secondary,0,23,0,0,cellular,20,nov,3,14.283334,0,-11.463801,-1.9403907,-0.86899817,1,26443
16356,28,technician,single,tertiary,0,-123,0,1,cellular,23,jul,1,11.5,0,-21.594717,4.2745686,-2.2904682,1,16356
6838,23,student,single,unknown,0,854,1,0,unknown,28,may,2,11.066667,0,3.6436877,-10.129122,-3.4153724,1,6838
32877,28,housemaid,single,tertiary,0,19,0,0,cellular,17,apr,1,2.4833333,0,-13.863756,-1.3374771,-0.39261216,1,32877
21851,53,management,married,tertiary,0,15,0,0,cellular,20,aug,2,15.35,0,-11.281394,-1.6213834,-0.9805087,1,21851
24038,46,technician,divorced,secondary,0,-90,0,1,telephone,17,oct,1,4.5,0,-20.758347,4.8142686,-2.1648386,1,24038
16497,36,admin,married,secondary,0,212,1,1,cellular,23,jul,6,20.016666,0,-1.341203,-5.2612853,3.7089627,1,16497
31964,39,services,divorced,secondary,0,0,1,0,cellular,13,apr,2,16.766666,0,-14.072879,4.8507285,-1.994948,1,31964
36575,40,blue-collar,married,secondary,0,1808,1,0,cellular,12,may,1,9.333333,0,9.57107,10.170108,-0.7460878,1,36575
37349,30,student,single,tertiary,0,228,1,0,cellular,13,may,2,5.233333,0,-2.050046,-3.49571,3.8755693,1,37349
16499,51,self-employed,married,secondary,0,95,1,0,cellular,23,jul,4,21.816668,0,-10.522359,-9.00593,-1.193262,1,16499
27949,28,unknown,single,secondary,0,4465,0,0,cellular,28,jan,1,12.816667,1,16.365389,-3.1424468,8.596645,1,27949
15719,51,management,married,tertiary,0,2455,1,0,cellular,21,jul,1,9.216666,0,11.028098,0.45635965,-10.92266,1,15719
17368,38,blue-collar,divorced,secondary,0,1817,1,0,cellular,28,jul,4,18.266666,0,9.52318,10.169314,-1.0155646,1,17368
33861,30,technician,single,tertiary,0,53,0,0,cellular,29,apr,1,6.25,0,-14.127416,-5.3499827,-0.98698425,1,33861
38428,28,services,single,secondary,0,341,1,0,cellular,15,may,3,7.2833333,0,-2.6457422,8.141654,6.6732516,1,38428
7281,56,technician,married,secondary,0,589,1,0,unknown,29,may,2,8.916667,0,-1.3960583,5.955423,-9.628328,1,7281
25611,49,management,married,secondary,0,1623,1,0,cellular,19,nov,2,18.016666,0,8.386127,9.607448,5.3179393,1,25611
29828,34,management,married,tertiary,0,73,0,0,cellular,4,feb,2,7.1,0,-12.505985,-7.389745,1.0748472,1,29828
25729,33,technician,single,tertiary,0,149,1,0,cellular,19,nov,2,7.0666666,0,-4.894949,-11.547248,1.2478656,1,25729
34169,24,student,single,secondary,0,382,0,0,cellular,30,apr,2,9.45,0,-1.8389055,10.802717,4.2332664,1,34169
22844,32,management,single,tertiary,0,1882,0,0,cellular,25,aug,5,8.283334,0,9.820004,9.682329,-2.5874891,1,22844
23471,34,self-employed,married,tertiary,0,0,0,0,cellular,28,aug,11,12.166667,0,-11.679029,2.445488,-4.0906124,1,23471
29100,36,admin,married,secondary,0,96,0,0,cellular,2,feb,1,5.0333333,0,-10.720865,-9.538291,1.1174235,1,29100
6006,24,blue-collar,married,secondary,0,685,1,0,unknown,26,may,3,14.933333,0,-1.7073737,-2.20362,-10.33326,1,6006
15415,30,admin,divorced,secondary,0,10,1,0,cellular,18,jul,2,10.966666,0,-13.100415,1.6686528,-1.3787719,1,15415
9044,47,entrepreneur,married,secondary,0,0,0,0,unknown,5,jun,1,24.1,0,-14.681718,6.8688655,-1.9361669,1,9044
13523,35,management,divorced,tertiary,0,6997,1,0,cellular,9,jul,1,18.683332,1,19.272058,3.7672207,0.24839677,1,13523
31326,33,technician,single,tertiary,0,258,0,0,cellular,12,mar,4,1.3333334,0,-2.2327635,-0.45632792,4.3645983,1,31326
34332,32,blue-collar,single,secondary,0,400,0,0,cellular,4,may,3,4.4666667,0,-1.8063537,12.932628,3.3113153,1,34332
16517,59,technician,married,secondary,0,135,1,1,cellular,23,jul,4,6.9333334,0,-6.5018787,-11.031841,-1.1500473,1,16517
31315,32,management,married,tertiary,0,8929,0,0,cellular,11,mar,1,2.1,1,20.268946,2.6105196,-3.5751767,1,31315
34046,52,self-employed,married,tertiary,0,6657,0,0,telephone,30,apr,1,15.283334,1,19.045347,3.8310063,1.2012519,1,34046
11631,25,blue-collar,single,secondary,0,-191,1,0,unknown,19,jun,7,15.966666,0,-23.208906,2.8405313,-2.5909271,1,11631
34361,24,student,single,secondary,0,387,0,0,telephone,4,may,8,5.6666665,0,-1.682467,12.222929,4.612992,1,34361
31392,46,management,divorced,tertiary,0,-130,1,0,cellular,24,mar,2,2.4,0,-21.754475,4.1117764,-2.314121,1,31392
27191,58,management,married,tertiary,0,96,0,0,cellular,21,nov,1,14.166667,0,-10.283174,-8.941947,-1.2634944,1,27191
32727,33,blue-collar,married,primary,0,5,1,0,cellular,17,apr,2,16.783333,0,-13.849424,3.1495972,-1.964761,1,32727
9104,43,blue-collar,single,secondary,0,318,1,0,unknown,5,jun,2,12.266666,0,-3.841966,5.5433416,7.366899,1,9104
15713,39,management,married,tertiary,0,1423,1,0,telephone,21,jul,3,12.216666,0,6.67434,5.2011123,10.851049,1,15713
13799,45,entrepreneur,married,unknown,0,3133,1,1,cellular,10,jul,1,13.4,0,14.142527,-8.342773,-4.52584,1,13799
13104,26,self-employed,single,secondary,0,551,0,0,cellular,8,jul,1,8.85,0,-0.34290224,7.9579096,-7.5154037,1,13104
27024,31,self-employed,married,tertiary,0,5,1,1,cellular,21,nov,1,10.583333,0,-12.379958,2.3444178,-1.9861523,1,27024
33703,59,technician,married,secondary,0,10925,0,0,cellular,21,apr,1,1.6666666,1,20.858105,1.6551484,-5.5910063,1,33703
34791,35,technician,divorced,secondary,0,84,1,1,cellular,6,may,1,15.9,0,-11.887922,-8.677353,0.90240645,1,34791
33087,40,technician,married,primary,0,284,1,0,cellular,20,apr,2,22.2,0,-2.3397417,1.7930512,6.44682,1,33087
8646,35,admin,married,secondary,0,-87,1,0,unknown,3,jun,7,22.716667,0,-20.706354,4.8518634,-2.134088,1,8646
31482,63,self-employed,married,tertiary,0,-39,0,0,cellular,1,apr,2,6.45,0,-18.83404,6.2283154,-2.150036,1,31482
25674,51,retired,married,tertiary,0,580,0,0,cellular,19,nov,2,11.566667,0,-1.251904,6.3729076,-9.194234,1,25674
9237,50,technician,married,secondary,0,416,1,0,unknown,5,jun,5,8.233334,0,-2.891867,13.101274,1.8579901,1,9237
11146,27,admin,married,secondary,0,-97,1,0,unknown,18,jun,2,25.466667,0,-20.983232,4.730802,-2.1854568,1,11146
20935,37,management,single,tertiary,0,455,1,0,cellular,13,aug,6,15.066667,0,-1.2534844,13.036279,-1.4981,1,20935
7732,34,technician,divorced,secondary,0,1451,1,0,unknown,30,may,15,18.283333,0,7.064364,5.9212747,10.161354,1,7732
6270,37,admin,married,secondary,0,274,1,0,unknown,27,may,3,12.183333,0,-1.8020511,0.9581307,6.0227404,1,6270
32194,51,unemployed,married,tertiary,0,1801,0,0,cellular,16,apr,3,13.966666,0,9.61897,10.327204,-0.5358609,1,32194
33823,56,management,divorced,tertiary,0,3287,0,0,cellular,27,apr,1,8.283334,1,14.6469345,-8.994669,-2.3080564,1,33823
35392,51,technician,married,secondary,0,-1944,1,0,cellular,7,may,1,10.383333,0,-25.31241,-5.708162,-3.7569666,1,35392
